Global Land and Ocean Temperature Anomalies,
Units: Degrees Celsius,
Base Period: 1901-2000,
Missing: -999,
Year,Value
188001,11.94
188002,11.95
188003,12.61
188004,13.65
188005,14.71
188006,15.37
188007,15.67
188008,15.54
188009,14.89
188010,13.77
188011,12.66
188012,12.11
188101,11.93
188102,12.04
188103,12.75
188104,13.77
188105,14.83
188106,15.38
188107,15.74
188108,15.54
188109,14.83
188110,13.71
188111,12.64
188112,12.17
188201,12.09
188202,12.12
188203,12.7
188204,13.55
188205,14.66
188206,15.36
188207,15.68
188208,15.53
188209,14.91
188210,13.77
188211,12.76
188212,12.05
188301,11.73
188302,11.75
188303,12.52
188304,13.5
188305,14.64
188306,15.5
188307,15.69
188308,15.49
188309,14.83
188310,13.78
188311,12.66
188312,12.06
188401,11.78
188402,11.92
188403,12.42
188404,13.42
188405,14.58
188406,15.24
188407,15.48
188408,15.31
188409,14.71
188410,13.73
188411,12.55
188412,11.96
188501,11.56
188502,11.81
188503,12.46
188504,13.42
188505,14.5
188506,15.19
188507,15.55
188508,15.31
188509,14.74
188510,13.81
188511,12.76
188512,12.21
188601,11.82
188602,11.79
188603,12.42
188604,13.52
188605,14.62
188606,15.26
188607,15.6
188608,15.34
188609,14.73
188610,13.69
188611,12.62
188612,12.04
188701,11.48
188702,11.64
188703,12.48
188704,13.44
188705,14.55
188706,15.26
188707,15.56
188708,15.29
188709,14.78
188710,13.68
188711,12.72
188712,12.04
188801,11.68
188802,11.83
188803,12.42
188804,13.59
188805,14.65
188806,15.39
188807,15.69
188808,15.44
188809,14.91
188810,14.04
188811,12.87
188812,12.28
188901,11.98
188902,12.14
188903,12.85
188904,13.79
188905,14.79
188906,15.43
188907,15.68
188908,15.46
188909,14.78
188910,13.76
188911,12.62
188912,12.06
189001,11.68
189002,11.78
189003,12.39
189004,13.43
189005,14.42
189006,15.21
189007,15.53
189008,15.22
189009,14.59
189010,13.65
189011,12.47
189012,11.93
189101,11.62
189102,11.56
189103,12.47
189104,13.46
189105,14.63
189106,15.31
189107,15.62
189108,15.39
189109,14.85
189110,13.71
189111,12.51
189112,12.14
189201,11.78
189202,11.98
189203,12.46
189204,13.37
189205,14.54
189206,15.2
189207,15.42
189208,15.27
189209,14.79
189210,13.73
189211,12.43
189212,11.76
189301,11.29
189302,11.49
189303,12.48
189304,13.36
189305,14.48
189306,15.24
189307,15.6
189308,15.3
189309,14.77
189310,13.76
189311,12.72
189312,11.96
189401,11.59
189402,11.87
189403,12.43
189404,13.31
189405,14.46
189406,15.13
189407,15.51
189408,15.3
189409,14.74
189410,13.71
189411,12.56
189412,11.96
189501,11.58
189502,11.71
189503,12.38
189504,13.51
189505,14.53
189506,15.22
189507,15.59
189508,15.36
189509,14.83
189510,13.89
189511,12.73
189512,12.08
189601,11.85
189602,11.99
189603,12.48
189604,13.46
189605,14.67
189606,15.41
189607,15.76
189608,15.56
189609,14.96
189610,14.02
189611,12.75
189612,12.27
189701,11.88
189702,12.01
189703,12.59
189704,13.75
189705,14.81
189706,15.42
189707,15.79
189708,15.51
189709,14.95
189710,13.82
189711,12.65
189712,11.97
189801,12
189802,11.82
189803,12.05
189804,13.32
189805,14.52
189806,15.31
189807,15.56
189808,15.36
189809,14.78
189810,13.62
189811,12.59
